"id","name","address","latitude","longitude","kakaoSearchKeyword","officialSourceName","officialSourceUrl","verifiedAt","selectedKakaoPlaceName","selectedKakaoPlaceId","selectedKakaoPlaceUrl","confidenceScore","kakaoNeedsReview","reason","candidate1PlaceName","candidate1Id","candidate1PlaceUrl","candidate1AddressName","candidate1RoadAddressName","candidate1CategoryName","candidate2PlaceName","candidate2Id","candidate2PlaceUrl","candidate2AddressName","candidate2RoadAddressName","candidate2CategoryName","candidate3PlaceName","candidate3Id","candidate3PlaceUrl","candidate3AddressName","candidate3RoadAddressName","candidate3CategoryName"
"place-201","독립기념관","충남 천안시 동남구 목천읍 독립기념관로 1","36.78366949071773","127.22280833066404","독립기념관","독립기념관","https://i815.or.kr/","2026-09-09","독립기념관","7834305","https://place.map.kakao.com/7834305","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·목천읍·독립기념관로·천안 일치 · 기존 좌표에서 0m · 카테고리 기념관 일치 · 기존 장소 ID 일치","독립기념관","7834305","https://place.map.kakao.com/7834305","충남 천안시 동남구 목천읍 남화리 230-1","충남 천안시 동남구 목천읍 독립기념관로 1","문화,예술 > 문화시설 > 기념관","독립기념관 겨레의집","25637220","https://place.map.kakao.com/25637220","충남 천안시 동남구 목천읍 남화리 230-1","충남 천안시 동남구 목천읍 독립기념관로 1","문화,예술 > 문화시설 > 기념관","독립기념관 겨레의큰마당","17350502","https://place.map.kakao.com/17350502","충남 천안시 동남구 목천읍 남화리 230-1","충남 천안시 동남구 목천읍 독립기념관로 1","문화,예술 > 문화시설 > 기념관"
"place-202","천안박물관","충남 천안시 동남구 천안삼거리길 27","36.786760408169656","127.16334367496806","천안박물관","천안시 천안박물관","https://www.cheonan.go.kr/museum.do","2026-09-09","천안박물관","8539185","https://place.map.kakao.com/8539185","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·천안삼거리길·27·천안 일치 · 기존 좌표에서 0m · 카테고리 박물관 일치 · 기존 장소 ID 일치","천안박물관","8539185","https://place.map.kakao.com/8539185","충남 천안시 동남구 삼룡동 261-10","충남 천안시 동남구 천안삼거리길 27","문화,예술 > 문화시설 > 박물관","천안박물관 다다어린이체험관","1684807316","https://place.map.kakao.com/1684807316","충남 천안시 동남구 삼룡동 261-10","충남 천안시 동남구 천안삼거리길 27","교육,학문 > 교육단체 > 체험학습장","천안박물관 주차장","652892797","https://place.map.kakao.com/652892797","충남 천안시 동남구 삼룡동 265-1","","교통,수송 > 교통시설 > 주차장"
"place-203","천안흥타령관","충남 천안시 동남구 천안대로 412","36.7849713328683","127.165562553075","천안흥타령관","천안시 천안박물관","https://www.cheonan.go.kr/museum.do","2026-09-09","천안흥타령관","23490999","https://place.map.kakao.com/23490999","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·천안대로·412·천안 일치 · 기존 좌표에서 0m · 카테고리 전시관 일치 · 기존 장소 ID 일치","천안흥타령관","23490999","https://place.map.kakao.com/23490999","충남 천안시 동남구 삼룡동 320-10","충남 천안시 동남구 천안대로 412","문화,예술 > 문화시설 > 전시관","","","","","","","","","","","",""
"place-204","천안시립미술관","충남 천안시 동남구 성남면 종합휴양지로 185","36.756495331040746","127.22621703746373","천안시립미술관","천안문화재단 천안시립미술관","https://www.camoa.or.kr/","2026-09-09","천안시립미술관","1411453355","https://place.map.kakao.com/1411453355","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·성남면·종합휴양지로·185·천안 일치 · 기존 좌표에서 0m · 카테고리 미술관 일치 · 기존 장소 ID 일치","천안시립미술관","1411453355","https://place.map.kakao.com/1411453355","충남 천안시 동남구 성남면 용원리 710","충남 천안시 동남구 성남면 종합휴양지로 185","문화,예술 > 문화시설 > 미술관","","","","","","","","","","","",""
"place-205","유관순열사기념관","충남 천안시 동남구 병천면 유관순길 38","36.7598808843551","127.308416611664","유관순열사기념관","천안시 사적관리소","https://www.cheonan.go.kr/yugwansun.do","2026-09-09","유관순열사기념관","8036605","https://place.map.kakao.com/8036605","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·병천면·유관순길·38·천안 일치 · 기존 좌표에서 0m · 카테고리 기념관 일치 · 기존 장소 ID 일치","유관순열사기념관","8036605","https://place.map.kakao.com/8036605","충남 천안시 동남구 병천면 탑원리 252","충남 천안시 동남구 병천면 유관순길 38","문화,예술 > 문화시설 > 기념관","","","","","","","","","","","",""
"place-206","천안홍대용과학관","충남 천안시 동남구 수신면 장산서길 113","36.7396202645372","127.29559853754","천안홍대용과학관","천안시 문화관광","https://www.cheonan.go.kr/tour.do","2026-09-09","천안홍대용과학관","24870795","https://place.map.kakao.com/24870795","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·수신면·장산서길·113·천안 일치 · 기존 좌표에서 0m · 카테고리 과학관 일치 · 기존 장소 ID 일치","천안홍대용과학관","24870795","https://place.map.kakao.com/24870795","충남 천안시 동남구 수신면 장산리 646-9","충남 천안시 동남구 수신면 장산서길 113","문화,예술 > 문화시설 > 과학관","천안홍대용과학관 주차장","1867920810","https://place.map.kakao.com/1867920810","충남 천안시 동남구 수신면 장산리 646-9","","교통,수송 > 교통시설 > 주차장","","","","","",""
"place-207","천안어린이꿈누리터","충남 천안시 동남구 옛시청길 39","36.806716933983424","127.15068386193343","천안어린이꿈누리터","천안어린이꿈누리터","https://www.cachildren.kr/","2026-09-09","천안어린이꿈누리터","2130696707","https://place.map.kakao.com/2130696707","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·옛시청길·39·천안 일치 · 기존 좌표에서 0m · 기존 장소 ID 일치","천안어린이꿈누리터","2130696707","https://place.map.kakao.com/2130696707","충남 천안시 동남구 문화동 112-1","충남 천안시 동남구 옛시청길 39","교육,학문 > 유아교육 > 놀이교육","온어스 천안꿈누리터점","631506313","https://place.map.kakao.com/631506313","충남 천안시 동남구 문화동 112-1","충남 천안시 동남구 옛시청길 39","음식점 > 카페","","","","","",""
"place-208","태조산공원","충남 천안시 동남구 태조산길 261","36.82369851322098","127.19129803995972","태조산공원","천안시 문화관광","https://www.cheonan.go.kr/tour.do","2026-09-09","태조산공원","8571684","https://place.map.kakao.com/8571684","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·태조산길·261·천안 일치 · 기존 좌표에서 0m · 카테고리 공원 일치 · 기존 장소 ID 일치","태조산공원","8571684","https://place.map.kakao.com/8571684","충남 천안시 동남구 유량동 6","충남 천안시 동남구 태조산길 261","여행 > 공원","태조산공원 관리사무소","26525617","https://place.map.kakao.com/26525617","충남 천안시 동남구 유량동 6","충남 천안시 동남구 태조산길 261","서비스,산업 > 관리,운영 > 공원관리운영","태조산공원 상징탑","27587971","https://place.map.kakao.com/27587971","충남 천안시 동남구 유량동 22-1","충남 천안시 동남구 태조산길 261","여행 > 관광,명소 > 문화유적 > 탑,비석"
"place-209","아름다운정원 화수목","충남 천안시 동남구 목천읍 교천지산길 175","36.78336884498643","127.19380463666909","아름다운정원 화수목","천안시 문화관광","https://www.cheonan.go.kr/tour.do","2026-09-09","아름다운정원 화수목","27089265","https://place.map.kakao.com/27089265","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·목천읍·교천지산길·175·천안 일치 · 기존 좌표에서 0m · 기존 장소 ID 일치","아름다운정원 화수목","27089265","https://place.map.kakao.com/27089265","충남 천안시 동남구 목천읍 교천리 211-1","충남 천안시 동남구 목천읍 교천지산길 175","여행 > 관광,명소 > 관광농원","아름다운정원 화수목 탐라식물원","1719568837","https://place.map.kakao.com/1719568837","충남 천안시 동남구 목천읍 교천리 211-1","충남 천안시 동남구 목천읍 교천지산길 175","여행 > 관광,명소 > 수목원,식물원","","","","","",""
"place-210","천안삼거리공원","충남 천안시 동남구 충절로 410","36.7830245423585","127.168403855354","천안삼거리공원","천안시 문화관광","https://www.cheonan.go.kr/tour.do","2026-09-09","천안삼거리공원","8094335","https://place.map.kakao.com/8094335","100","false","기존 수동 검증 ID 유지 · 이름 정확히 일치 · 지역 충남·천안시·동남구·충절로·410·천안 일치 · 기존 좌표에서 0m · 카테고리 공원 일치 · 기존 장소 ID 일치","천안삼거리공원","8094335","https://place.map.kakao.com/8094335","충남 천안시 동남구 삼룡동 299-1","충남 천안시 동남구 충절로 410","여행 > 공원","천안삼거리공원 공연장","17014403","https://place.map.kakao.com/17014403","충남 천안시 동남구 삼룡동 291-4","충남 천안시 동남구 충절로 410","문화,예술 > 문화시설 > 공연장,연극극장","천안삼거리공원 주차장","17562328","https://place.map.kakao.com/17562328","충남 천안시 동남구 삼룡동 117-1","충남 천안시 동남구 충절로 410","교통,수송 > 교통시설 > 주차장"
